Year,Month,renewable_energy
2004,January,0
2004,February,0
2004,March,0
2004,April,0
2004,May,0
2004,June,0
2004,July,0
2004,August,0
2004,September,100
2004,October,0
2004,November,0
2004,December,0
2005,January,97
2005,February,0
2005,March,0
2005,April,99
2005,May,62
2005,June,65
2005,July,0
2005,August,0
2005,September,91
2005,October,50
2005,November,80
2005,December,59
2006,January,72
2006,February,70
2006,March,78
2006,April,57
2006,May,63
2006,June,54
2006,July,0
2006,August,42
2006,September,48
2006,October,41
2006,November,43
2006,December,49
2007,January,70
2007,February,31
2007,March,46
2007,April,54
2007,May,59
2007,June,41
2007,July,61
2007,August,44
2007,September,45
2007,October,45
2007,November,64
2007,December,44
2008,January,47
2008,February,55
2008,March,65
2008,April,66
2008,May,39
2008,June,46
2008,July,45
2008,August,50
2008,September,48
2008,October,62
2008,November,53
2008,December,38
2009,January,52
2009,February,43
2009,March,68
2009,April,46
2009,May,57
2009,June,56
2009,July,50
2009,August,33
2009,September,44
2009,October,64
2009,November,66
2009,December,34
2010,January,55
2010,February,32
2010,March,64
2010,April,55
2010,May,47
2010,June,33
2010,July,44
2010,August,44
2010,September,45
2010,October,42
2010,November,55
2010,December,42
2011,January,43
2011,February,30
2011,March,60
2011,April,52
2011,May,48
2011,June,31
2011,July,32
2011,August,46
2011,September,38
2011,October,39
2011,November,60
2011,December,42
2012,January,41
2012,February,52
2012,March,55
2012,April,50
2012,May,51
2012,June,49
2012,July,37
2012,August,36
2012,September,46
2012,October,51
2012,November,51
2012,December,41
2013,January,45
2013,February,48
2013,March,49
2013,April,48
2013,May,32
2013,June,30
2013,July,36
2013,August,33
2013,September,51
2013,October,49
2013,November,44
2013,December,37
2014,January,46
2014,February,44
2014,March,51
2014,April,45
2014,May,35
2014,June,39
2014,July,36
2014,August,24
2014,September,47
2014,October,51
2014,November,50
2014,December,38
2015,January,48
2015,February,47
2015,March,53
2015,April,49
2015,May,37
2015,June,43
2015,July,35
2015,August,34
2015,September,46
2015,October,60
2015,November,61
2015,December,58
2016,January,65
2016,February,72
2016,March,72
2016,April,73
2016,May,62
2016,June,57
2016,July,43
2016,August,47
2016,September,57
2016,October,61
2016,November,68
2016,December,43
2017,January,66
2017,February,59
2017,March,78
2017,April,63
2017,May,52
2017,June,66
2017,July,50
2017,August,45
2017,September,62
2017,October,72
2017,November,63
2017,December,47
2018,January,55
2018,February,56
2018,March,62
2018,April,56
2018,May,48
2018,June,45
2018,July,37
2018,August,37
2018,September,50
2018,October,54
2018,November,53
2018,December,40
2019,January,47
2019,February,57
2019,March,55
2019,April,57
2019,May,55
2019,June,57
2019,July,45
2019,August,35
2019,September,66
2019,October,71
2019,November,53
2019,December,48
2020,January,58
2020,February,50
2020,March,51
2020,April,51
2020,May,47
2020,June,43
2020,July,48
2020,August,36
2020,September,58
2020,October,46
2020,November,55
2020,December,43
2021,January,55
2021,February,45
2021,March,56
2021,April,45
2021,May,45
2021,June,41
2021,July,40
2021,August,33
2021,September,45
2021,October,61
2021,November,58
2021,December,51
2022,January,71
2022,February,81
2022,March,77
2022,April,75
2022,May,69
2022,June,59
2022,July,52
2022,August,50
2022,September,76
2022,October,66
2022,November,80
2022,December,57
2023,January,69
2023,February,75
2023,March,72
2023,April,71
2023,May,62
2023,June,58
2023,July,56
2023,August,48
2023,September,65
2023,October,76
2023,November,69
2023,December,61
2024,January,69
2024,February,72
2024,March,81
2024,April,84
2024,May,61
2024,June,67
2024,July,62
2024,August,44
2024,September,76
2024,October,85
