Month,renewable energy
2004-01,41
2004-02,45
2004-03,46
2004-04,55
2004-05,46
2004-06,43
2004-07,41
2004-08,43
2004-09,46
2004-10,47
2004-11,49
2004-12,44
2005-01,39
2005-02,45
2005-03,48
2005-04,52
2005-05,43
2005-06,43
2005-07,37
2005-08,39
2005-09,47
2005-10,44
2005-11,45
2005-12,38
2006-01,50
2006-02,55
2006-03,54
2006-04,66
2006-05,64
2006-06,48
2006-07,43
2006-08,46
2006-09,49
2006-10,50
2006-11,54
2006-12,46
2007-01,55
2007-02,63
2007-03,61
2007-04,66
2007-05,68
2007-06,57
2007-07,50
2007-08,53
2007-09,53
2007-10,64
2007-11,75
2007-12,64
2008-01,70
2008-02,70
2008-03,76
2008-04,79
2008-05,83
2008-06,69
2008-07,73
2008-08,63
2008-09,82
2008-10,93
2008-11,87
2008-12,90
2009-01,81
2009-02,95
2009-03,95
2009-04,92
2009-05,81
2009-06,77
2009-07,65
2009-08,62
2009-09,71
2009-10,74
2009-11,79
2009-12,68
2010-01,69
2010-02,72
2010-03,80
2010-04,72
2010-05,71
2010-06,59
2010-07,47
2010-08,48
2010-09,56
2010-10,56
2010-11,55
2010-12,50
2011-01,54
2011-02,61
2011-03,58
2011-04,55
2011-05,59
2011-06,50
2011-07,38
2011-08,40
2011-09,44
2011-10,52
2011-11,49
2011-12,41
2012-01,45
2012-02,47
2012-03,47
2012-04,49
2012-05,49
2012-06,36
2012-07,32
2012-08,33
2012-09,41
2012-10,46
2012-11,48
2012-12,36
2013-01,43
2013-02,45
2013-03,49
2013-04,54
2013-05,47
2013-06,30
2013-07,26
2013-08,28
2013-09,35
2013-10,43
2013-11,47
2013-12,37
2014-01,41
2014-02,46
2014-03,48
2014-04,59
2014-05,54
2014-06,35
2014-07,30
2014-08,27
2014-09,41
2014-10,46
2014-11,47
2014-12,43
2015-01,40
2015-02,48
2015-03,52
2015-04,62
2015-05,57
2015-06,34
2015-07,30
2015-08,30
2015-09,39
2015-10,54
2015-11,52
2015-12,51
2016-01,45
2016-02,54
2016-03,54
2016-04,65
2016-05,57
2016-06,29
2016-07,26
2016-08,30
2016-09,39
2016-10,49
2016-11,62
2016-12,51
2017-01,56
2017-02,61
2017-03,62
2017-04,67
2017-05,67
2017-06,45
2017-07,27
2017-08,32
2017-09,39
2017-10,53
2017-11,58
2017-12,50
2018-01,52
2018-02,58
2018-03,58
2018-04,64
2018-05,60
2018-06,30
2018-07,27
2018-08,35
2018-09,41
2018-10,53
2018-11,53
2018-12,49
2019-01,50
2019-02,63
2019-03,62
2019-04,71
2019-05,65
2019-06,34
2019-07,27
2019-08,30
2019-09,47
2019-10,56
2019-11,55
2019-12,49
2020-01,58
2020-02,62
2020-03,55
2020-04,65
2020-05,60
2020-06,35
2020-07,31
2020-08,38
2020-09,53
2020-10,59
2020-11,55
2020-12,51
2021-01,64
2021-02,77
2021-03,56
2021-04,61
2021-05,58
2021-06,38
2021-07,31
2021-08,29
2021-09,39
2021-10,46
2021-11,49
2021-12,41
2022-01,47
2022-02,58
2022-03,73
2022-04,100
2022-05,90
2022-06,46
2022-07,36
2022-08,40
2022-09,52
2022-10,59
2022-11,63
2022-12,58
2023-01,62
2023-02,71
2023-03,74
2023-04,80
2023-05,78
2023-06,40
2023-07,33
2023-08,38
2023-09,52
2023-10,61
2023-11,68
2023-12,58
2024-01,65
2024-02,81
2024-03,77
2024-04,91
2024-05,81
2024-06,39
2024-07,34
2024-08,36
2024-09,52
2024-10,55
